108782188: parking: 221161881#2 : [255, 0, 0], 0
222614811: building.apartments: 25135024#3 : ['0', '100', '100'], 27.14
222662629: building.apartments: -4742868#11 : ['0', '100', '100'], 81.6
222662630: building.apartments: -4742868#11 : ['0', '100', '100'], 81.45
222662631: building.apartments: -4742868#11 : ['0', '100', '100'], 119.35
222662633: building.apartments: -4742868#11 : ['0', '100', '100'], 43.45
222850045: building.apartments: 24598648#5 : ['0', '100', '100'], 36.53
222850046: building.apartments: -24532138#3 : ['0', '100', '100'], 13.69
223093050: building.residential: -5488374#1 : ['30', '60', '150'], 197.09
223139982: building.residential: -5489233#1 : ['30', '60', '150'], 197.34
223236907: building.apartments: 4742868#8 : ['0', '100', '100'], 10.91
239454234: building.apartments: 227062822#2 : ['0', '100', '100'], 21.82
243891391: building.apartments: 209319564#4 : ['0', '100', '100'], 45.45
243891397: building.apartments: 209319563#2 : ['0', '100', '100'], 9.82
245941538: building.apartments: 24532300 : ['0', '100', '100'], 58.99
246979412: building.apartments: -150834642#0 : ['0', '100', '100'], 76.59
246983033: building.apartments: 366073489#3 : ['0', '100', '100'], 59.87
246983044: building.apartments: 5073616#2 : ['0', '100', '100'], 47.4
246983048: building.apartments: 366073489#3 : ['0', '100', '100'], 50.77
246983050: building.apartments: 5073616#2 : ['0', '100', '100'], 61.3
246983052: building.apartments: 366073489#3 : ['0', '100', '100'], 35.99
246983054: building.apartments: 108404027#3 : ['0', '100', '100'], 74.48
246983057: building.apartments: 366073489#3 : ['0', '100', '100'], 22.46
246983059: building.apartments: 108404027#3 : ['0', '100', '100'], 59.05
246983061: building.apartments: 108404027#3 : ['0', '100', '100'], 42.07
246983063: building.apartments: 5073616#2 : ['0', '100', '100'], 6.52
246983065: building.apartments: 108404027#3 : ['0', '100', '100'], 27.36
246983067: building.apartments: 108404027#3 : ['0', '100', '100'], 11.58
246983072: building.apartments: 5073616#2 : ['0', '100', '100'], 23.28
246983074: building.apartments: 5073616#2 : ['0', '100', '100'], 35.81
246983076: building.apartments: -150697173#0 : ['0', '100', '100'], 33.99
268877780: amenity.school: 659292417#0 : ['255', '150', '0'], 17.93
270793247: building.apartments: -24534195#1 : ['0', '100', '100'], 45.33
270793248: building.apartments: -24534195#1 : ['0', '100', '100'], 40.89
275143793: building.apartments: -383597641#4 : ['0', '100', '100'], 16.34
275143794: building.apartments: -383597641#7 : ['0', '100', '100'], 85.15
275631709: building.apartments: 429377565#1 : ['0', '100', '100'], 11.12
275631712: building.apartments: 251698274 : ['0', '100', '100'], 17.16
275631713: building.apartments: 429078255 : ['0', '100', '100'], 18.9
275631714: building.apartments: 151493316#0 : ['0', '100', '100'], 39.32
275631715: building.apartments: -22331103#0 : ['0', '100', '100'], 16.15
275631716: building.apartments: 429078255 : ['0', '100', '100'], 29.08
275631718: building.apartments: 151493316#0 : ['0', '100', '100'], 24.08
281908011: building.apartments: 366073470#1 : ['0', '100', '100'], 52.55
287762748: building.residential: -383597641#4 : ['30', '60', '150'], 33.39
287762749: building.residential: -383597641#4 : ['30', '60', '150'], 33.4
307616200: building.apartments: 152395940#4 : ['0', '100', '100'], 23.84
313041018: building.apartments: 108404027#2 : ['0', '100', '100'], 114.16
313041021: building.apartments: 108404027#2 : ['0', '100', '100'], 66.13
313041022: building.apartments: 108404027#2 : ['0', '100', '100'], 51.21
313041023: building.apartments: 108404027#2 : ['0', '100', '100'], 38.49
313041025: building.apartments: 150697173#0 : ['0', '100', '100'], 21.68
313041026: building.apartments: 150697173#0 : ['0', '100', '100'], 33.92
313041027: building.apartments: 150697173#0 : ['0', '100', '100'], 47.03
314367666: building.apartments: 404599856 : ['0', '100', '100'], 44.39
315261194: building.office: 7980452#2 : ['255', '0', '255'], 37.2
316571353: building.apartments: 359726683#1 : ['0', '100', '100'], 48.39
316571354: building.apartments: 359726683#1 : ['0', '100', '100'], 28.52
316571355: building.apartments: 359726683#1 : ['0', '100', '100'], 13.91
317251224: building.apartments: 4403852#3 : ['0', '100', '100'], 13.65
317251225: building.apartments: 4403852#3 : ['0', '100', '100'], 13.05
317251226: building.apartments: 4403852#3 : ['0', '100', '100'], 31.27
317583354: building.apartments: 31045126#1 : ['0', '100', '100'], 73.79
317583355: building.apartments: 31045126#1 : ['0', '100', '100'], 73.05
317583356: building.apartments: 31045126#1 : ['0', '100', '100'], 59.54
317583359: building.apartments: 31045126#1 : ['0', '100', '100'], 30.27
317583360: building.apartments: -150554195#3 : ['0', '100', '100'], 37.12
317583362: building.apartments: 31045126#1 : ['0', '100', '100'], 19.34
317827304: building.apartments: 674280493 : ['0', '100', '100'], 7.9
318476370: building.apartments: 23137793#4 : ['0', '100', '100'], 62.63
319367487: building.apartments: 626581541#1 : ['0', '100', '100'], 16.08
319367498: building.apartments: 626581541#1 : ['0', '100', '100'], 31.76
319367505: building.apartments: 626581541#1 : ['0', '100', '100'], 44.76
319367510: building.apartments: 626581541#1 : ['0', '100', '100'], 58.23
319367512: building.apartments: 178843541 : ['0', '100', '100'], 24.04
319820142: building.office: 53175059#1 : ['255', '0', '255'], 99.76
319820144: building.apartments: -43866169#1 : ['0', '100', '100'], 38.86
319820145: building.apartments: -43866169#1 : ['0', '100', '100'], 57.36
319820148: building.apartments: -43866169#1 : ['0', '100', '100'], 76.52
319820151: building.apartments: -43866169#1 : ['0', '100', '100'], 87.24
319820168: building.office: -33083987#0 : ['255', '0', '255'], 13.72
319825282: building.office: 364071761#0 : ['255', '0', '255'], 21.19
319825283: building.office: 364071761#1 : ['255', '0', '255'], 13.82
319937606: building.apartments: 151785743#0 : ['0', '100', '100'], 32.39
319937612: building.apartments: 191640848#1 : ['0', '100', '100'], 20.64
319937613: building.apartments: 53175159#14 : ['0', '100', '100'], 24.18
320736023: building.apartments: 7980431#1 : ['0', '100', '100'], 117.22
320736024: building.apartments: 7980431#1 : ['0', '100', '100'], 131.79
320736025: building.apartments: 7980431#1 : ['0', '100', '100'], 144.67
320736026: building.apartments: 7980431#1 : ['0', '100', '100'], 150.08
321188828: building.apartments: 358953097#1 : ['0', '100', '100'], 40.73
321188829: building.apartments: 358953097#1 : ['0', '100', '100'], 30.51
321188830: building.apartments: 358953097#1 : ['0', '100', '100'], 19.12
321191771: building.apartments: 360248194 : ['0', '100', '100'], 62.49
321191788: building.apartments: 151820116 : ['0', '100', '100'], 10.43
321191791: building.apartments: 358953088 : ['0', '100', '100'], 30.76
321191793: building.apartments: 358953088 : ['0', '100', '100'], 12.15
321191794: building.apartments: 105611252 : ['0', '100', '100'], 32.3
321191796: building.apartments: 105611252 : ['0', '100', '100'], 11.03
321192564: building.apartments: 358953088 : ['0', '100', '100'], 54.65
322078636: building.apartments: -360248206#0 : ['0', '100', '100'], 16.26
322435793: building.apartments: 711528929#0 : ['0', '100', '100'], 13.68
322435794: building.apartments: 711528929#0 : ['0', '100', '100'], 15.23
322435795: building.apartments: 189899508 : ['0', '100', '100'], 6.81
322435796: building.apartments: 270655652#1 : ['0', '100', '100'], 8.91
33046885: building.office: 27191681#0 : ['255', '0', '255'], 95.56
334457602: building.apartments: 169689362#0 : ['0', '100', '100'], 19.96
334457608: building.residential: -334457598#0 : ['30', '60', '150'], 37.31
334457609: building.residential: -334457598#0 : ['30', '60', '150'], 23.46
334457610: building.residential: -334457598#0 : ['30', '60', '150'], 15.52
335082230: building.apartments: -151493316#0 : ['0', '100', '100'], 20.77
335082247: building.apartments: -151493316#0 : ['0', '100', '100'], 59.03
335082267: building.apartments: -151493316#0 : ['0', '100', '100'], 50.38
335082275: building.apartments: -152406546#1 : ['0', '100', '100'], 25.18
335082276: building.apartments: -151493316#0 : ['0', '100', '100'], 33.09
335082280: building.apartments: 152406546#1 : ['0', '100', '100'], 24.59
335082286: building.apartments: 152406545#1 : ['0', '100', '100'], 66.37
335082289: building.apartments: -152406545#1 : ['0', '100', '100'], 8.13
335084956: building.apartments: 335082291#1 : ['0', '100', '100'], 15.21
335084960: building.apartments: 335082291#3 : ['0', '100', '100'], 23.91
335084961: building.apartments: 335082291#3 : ['0', '100', '100'], 36.81
335084962: building.apartments: 335082291#3 : ['0', '100', '100'], 62.64
336136629: amenity.school: 23055403#2 : ['255', '150', '0'], 48.82
343376214: building.apartments: 178226651#1 : ['0', '100', '100'], 54.43
343376215: building.apartments: 150671086 : ['0', '100', '100'], 8.35
343376220: building.apartments: 178226651#1 : ['0', '100', '100'], 28.37
343376223: building.apartments: 178226651#1 : ['0', '100', '100'], 42.05
343384117: building.apartments: -150671086 : ['0', '100', '100'], 49.16
343384121: building.apartments: -150671086 : ['0', '100', '100'], 57.95
343384122: building.apartments: 305390361#2 : ['0', '100', '100'], 27.05
343384126: building.apartments: -150671086 : ['0', '100', '100'], 34.7
343384128: building.apartments: -150671086 : ['0', '100', '100'], 18.45
343605269: building.apartments: -24599109 : ['0', '100', '100'], 19.37
343605270: building.apartments: -24599109 : ['0', '100', '100'], 40.0
343605271: building.apartments: -24599109 : ['0', '100', '100'], 12.13
343605272: building.apartments: -24599111#0 : ['0', '100', '100'], 83.7
343605273: building.apartments: -24599111#0 : ['0', '100', '100'], 67.16
343605274: building.apartments: -24599111#0 : ['0', '100', '100'], 54.25
343605275: building.apartments: -24599111#0 : ['0', '100', '100'], 41.27
343605276: building.apartments: -24599111#0 : ['0', '100', '100'], 28.11
343605278: building.apartments: -24599111#0 : ['0', '100', '100'], 15.51
343605280: building.apartments: -24599109 : ['0', '100', '100'], 32.75
343605281: building.apartments: -24599111#0 : ['0', '100', '100'], 133.27
343605282: building.apartments: -24599111#0 : ['0', '100', '100'], 118.74
343605283: building.apartments: -24599111#0 : ['0', '100', '100'], 102.22
344435418: building.residential: 24532138#3 : ['30', '60', '150'], 42.81
344644407: building.apartments: -24599111#1 : ['0', '100', '100'], 142.8
344644411: building.apartments: -24599111#1 : ['0', '100', '100'], 130.74
344644413: building.apartments: -24598648#5 : ['0', '100', '100'], 25.74
344644414: building.apartments: -24599111#1 : ['0', '100', '100'], 116.49
344644416: building.apartments: -24599111#1 : ['0', '100', '100'], 101.68
344644417: building.apartments: -24599111#1 : ['0', '100', '100'], 88.2
344644418: building.apartments: -24599111#1 : ['0', '100', '100'], 73.67
344644420: building.apartments: -24599111#1 : ['0', '100', '100'], 58.59
344644422: building.apartments: -24599111#1 : ['0', '100', '100'], 46.98
344644424: building.apartments: -24599111#1 : ['0', '100', '100'], 32.63
344644425: building.apartments: 189575384#3 : ['0', '100', '100'], 26.56
344644428: building.apartments: 189575384#3 : ['0', '100', '100'], 43.56
344644429: building.apartments: 189575384#3 : ['0', '100', '100'], 58.78
344644430: building.apartments: 189575384#3 : ['0', '100', '100'], 73.54
344644432: building.apartments: 189575384#3 : ['0', '100', '100'], 88.26
344644434: building.apartments: -24599111#1 : ['0', '100', '100'], 61.92
344644438: building.apartments: 189575384#5 : ['0', '100', '100'], 7.9
344644439: building.apartments: 189575384#5 : ['0', '100', '100'], 7.9
344649514: building.apartments: 24600600 : ['0', '100', '100'], 44.07
344649516: building.apartments: 24600600 : ['0', '100', '100'], 29.71
344649517: building.apartments: 24600600 : ['0', '100', '100'], 15.56
344649518: building.apartments: 189575384#1 : ['0', '100', '100'], 10.99
344649520: building.apartments: 189575384#1 : ['0', '100', '100'], 27.18
344649534: building.apartments: 189575384#2 : ['0', '100', '100'], 23.08
344649539: building.apartments: 189575384#2 : ['0', '100', '100'], 39.35
344649546: building.apartments: 189575384#2 : ['0', '100', '100'], 52.45
344649551: building.apartments: 189575384#2 : ['0', '100', '100'], 66.6
344649556: building.apartments: 189575384#2 : ['0', '100', '100'], 81.11
344649559: building.apartments: 189575384#2 : ['0', '100', '100'], 94.66
344649564: building.apartments: 24600600 : ['0', '100', '100'], 8.45
345182317: building.apartments: 24599111#1 : ['0', '100', '100'], 23.29
345182320: building.apartments: -24600598#1 : ['0', '100', '100'], 125.24
345182324: building.apartments: 24599111#1 : ['0', '100', '100'], 39.82
345182332#1: building.apartments: 24598376#2 : ['0', '100', '100'], 20.58
345182336: building.apartments: 24599111#1 : ['0', '100', '100'], 56.46
345182339: building.apartments: 24598376#2 : ['0', '100', '100'], 34.04
345182345: building.apartments: 24599111#1 : ['0', '100', '100'], 15.12
345182354: building.apartments: -24600598#1 : ['0', '100', '100'], 35.97
345182355: building.apartments: 24599111#1 : ['0', '100', '100'], 120.99
345182367: building.apartments: -24598648#2 : ['0', '100', '100'], 22.7
383597642: building.residential: -383597641#4 : ['30', '60', '150'], 33.52
396358823: building.apartments: 251987384#3 : ['0', '100', '100'], 19.29
404432580: building.apartments: 288074072#1 : ['0', '100', '100'], 52.47
404432581: building.apartments: 288074072#1 : ['0', '100', '100'], 41.1
404432582: building.apartments: 288074072#1 : ['0', '100', '100'], 27.98
404432583: building.apartments: 288074072#1 : ['0', '100', '100'], 14.88
404432585: building.apartments: 288074072#0 : ['0', '100', '100'], 32.05
404432586: building.apartments: 187628749#1 : ['0', '100', '100'], 146.54
404432587: building.apartments: 288074072#1 : ['0', '100', '100'], 90.23
404432588: building.apartments: 320252634#7 : ['0', '100', '100'], 17.12
404432589: building.apartments: 288074072#0 : ['0', '100', '100'], 20.02
404432591: building.apartments: 288074072#1 : ['0', '100', '100'], 75.19
404432592: building.apartments: 288074072#1 : ['0', '100', '100'], 62.47
405509405: building.apartments: 475657675 : ['0', '100', '100'], 12.46
442728368: building.apartments: 174352079#2 : ['0', '100', '100'], 29.46
442760230: building.apartments: 174352079#2 : ['0', '100', '100'], 81.89
443340996: building.residential: -156466418#6 : ['30', '60', '150'], 150.06
443340999: building.residential: -129735587#1 : ['30', '60', '150'], 25.25
443341013: building.residential: 443340950#0 : ['30', '60', '150'], 39.35
443341017: building.residential: 443340950#0 : ['30', '60', '150'], 58.51
443341018: building.apartments: 443340950#0 : ['0', '100', '100'], 72.28
443341019: building.residential: 443340950#0 : ['30', '60', '150'], 91.27
443393443: building.apartments: -156466418#6 : ['0', '100', '100'], 86.38
532149753: building.residential: 27287268 : ['30', '60', '150'], 85.66
532149776: building.school: -169689362#0 : ['255', '100', '0'], 24.09
590920352: building.apartments: -85287421#0 : ['0', '100', '100'], 4.09
611900132: building.apartments: 152406545#1 : ['0', '100', '100'], 46.04
619743596: building.apartments: -520753136#1 : ['0', '100', '100'], 60.18
619743599: building.apartments: -520753136#1 : ['0', '100', '100'], 77.88
619756892: building.apartments: -520753136#1 : ['0', '100', '100'], 36.18
619756893: building.apartments: -178199022#0 : ['0', '100', '100'], 32.34
619756894: building.apartments: -520753136#1 : ['0', '100', '100'], 42.19
619756895: building.apartments: -178199022#0 : ['0', '100', '100'], 29.3
619756896: building.apartments: -520753136#1 : ['0', '100', '100'], 75.2
619756897: building.apartments: -520753136#1 : ['0', '100', '100'], 60.18
682199052: amenity.kindergarten: -5199695#4 : ['100', '60', '255'], 48.26
875908620: building.apartments: 24666916 : ['0', '100', '100'], 50.25
1317501365: building.apartments: 150851814#3 : ['0', '100', '100'], 21.495475354801403
1557388950: building.apartments: 107085644 : ['0', '100', '100'], 71.93660395271492
1624859785: building.apartments: 150834642#1 : ['0', '100', '100'], 65.62421510223622
1435486569: amenity.car_sharing: 23137793#3 : ['200', '0', '0'], 4.276811547997268
2335123776: amenity.car_sharing: 4432606#4 : ['200', '0', '0'], 30.44516820377736
2335207635: amenity.car_sharing: 305325051#0 : ['200', '0', '0'], 13.91290040706585
2335209493: amenity.car_sharing: 24600598#0 : ['200', '0', '0'], 48.35355114571728
2335209634: amenity.car_sharing: -189575384#3 : ['200', '0', '0'], 77.39414642928924
2335222787: amenity.car_sharing: -150694624#0 : ['200', '0', '0'], 23.029791056373494
2335223633: amenity.car_sharing: 108404032#1 : ['200', '0', '0'], 46.6283177614583
2335223863: amenity.car_sharing: 24534083#2 : ['200', '0', '0'], 57.85301481060493
2335229003: amenity.car_sharing: 238870175#1 : ['200', '0', '0'], 3.0608555220723437
534770397: amenity.car_sharing: 24916962#1 : ['200', '0', '0'], 3.139155000937597
648771358: amenity.car_sharing: -25878783#1 : ['200', '0', '0'], 54.24647189301851
